nohup: ignoring input
IndusStream SQLite edge logger started
Database: /home/pi/IndusStream/v2-edge-dashboard/data/indusstream.db
Reading from: /dev/ttyACM0
Sampling every 60 seconds
Press CTRL+C to stop
2026-04-28T20:37:04Z | temp=27.86C | co_raw=232 | co_v=1.134V | co_rs=34095.0Ω | sound=20 | sound_event=0 | light=15 | light_state=dark
2026-04-28T20:38:04Z | temp=27.37C | co_raw=233 | co_v=1.139V | co_rs=33906.0Ω | sound=12 | sound_event=0 | light=14 | light_state=dark
2026-04-28T20:39:04Z | temp=27.37C | co_raw=235 | co_v=1.149V | co_rs=33532.0Ω | sound=11 | sound_event=0 | light=14 | light_state=dark
2026-04-28T20:40:04Z | temp=27.86C | co_raw=234 | co_v=1.144V | co_rs=33718.0Ω | sound=8 | sound_event=0 | light=14 | light_state=dark
2026-04-28T20:41:06Z | temp=26.88C | co_raw=236 | co_v=1.153V | co_rs=33347.0Ω | sound=12 | sound_event=0 | light=14 | light_state=dark
2026-04-28T20:42:07Z | temp=26.88C | co_raw=235 | co_v=1.149V | co_rs=33532.0Ω | sound=10 | sound_event=0 | light=14 | light_state=dark
2026-04-28T20:43:07Z | temp=27.37C | co_raw=235 | co_v=1.149V | co_rs=33532.0Ω | sound=12 | sound_event=0 | light=14 | light_state=dark
2026-04-28T20:44:07Z | temp=27.37C | co_raw=236 | co_v=1.153V | co_rs=33347.0Ω | sound=11 | sound_event=0 | light=14 | light_state=dark
2026-04-28T20:45:07Z | temp=27.37C | co_raw=237 | co_v=1.158V | co_rs=33165.0Ω | sound=10 | sound_event=0 | light=14 | light_state=dark
2026-04-28T20:46:07Z | temp=27.86C | co_raw=239 | co_v=1.168V | co_rs=32803.0Ω | sound=12 | sound_event=0 | light=13 | light_state=dark
2026-04-28T20:47:08Z | temp=27.37C | co_raw=239 | co_v=1.168V | co_rs=32803.0Ω | sound=11 | sound_event=0 | light=13 | light_state=dark
2026-04-28T20:48:08Z | temp=27.86C | co_raw=239 | co_v=1.168V | co_rs=32803.0Ω | sound=9 | sound_event=0 | light=14 | light_state=dark
2026-04-28T20:49:08Z | temp=27.37C | co_raw=235 | co_v=1.149V | co_rs=33532.0Ω | sound=11 | sound_event=0 | light=14 | light_state=dark
2026-04-28T20:50:08Z | temp=26.88C | co_raw=237 | co_v=1.158V | co_rs=33165.0Ω | sound=8 | sound_event=0 | light=14 | light_state=dark
2026-04-28T20:51:08Z | temp=27.37C | co_raw=236 | co_v=1.153V | co_rs=33347.0Ω | sound=13 | sound_event=0 | light=14 | light_state=dark
2026-04-28T20:52:08Z | temp=26.88C | co_raw=234 | co_v=1.144V | co_rs=33718.0Ω | sound=11 | sound_event=0 | light=13 | light_state=dark
2026-04-28T20:53:09Z | temp=27.37C | co_raw=234 | co_v=1.144V | co_rs=33718.0Ω | sound=9 | sound_event=0 | light=14 | light_state=dark
2026-04-28T20:54:09Z | temp=26.88C | co_raw=234 | co_v=1.144V | co_rs=33718.0Ω | sound=12 | sound_event=0 | light=13 | light_state=dark
2026-04-28T20:55:09Z | temp=26.88C | co_raw=234 | co_v=1.144V | co_rs=33718.0Ω | sound=12 | sound_event=0 | light=13 | light_state=dark
2026-04-28T20:56:09Z | temp=27.86C | co_raw=235 | co_v=1.149V | co_rs=33532.0Ω | sound=9 | sound_event=0 | light=15 | light_state=dark
2026-04-28T20:57:09Z | temp=27.37C | co_raw=234 | co_v=1.144V | co_rs=33718.0Ω | sound=11 | sound_event=0 | light=13 | light_state=dark
2026-04-28T20:58:10Z | temp=26.88C | co_raw=232 | co_v=1.134V | co_rs=34095.0Ω | sound=11 | sound_event=0 | light=13 | light_state=dark
2026-04-28T20:59:10Z | temp=27.37C | co_raw=234 | co_v=1.144V | co_rs=33718.0Ω | sound=10 | sound_event=0 | light=14 | light_state=dark
2026-04-28T21:00:10Z | temp=26.88C | co_raw=233 | co_v=1.139V | co_rs=33906.0Ω | sound=11 | sound_event=0 | light=13 | light_state=dark
Hourly summary stored: 2026-04-28T20:00:00Z → 2026-04-28T21:00:00Z (51 samples)
2026-04-28T21:01:10Z | temp=27.37C | co_raw=232 | co_v=1.134V | co_rs=34095.0Ω | sound=11 | sound_event=0 | light=14 | light_state=dark
2026-04-28T21:02:10Z | temp=26.88C | co_raw=232 | co_v=1.134V | co_rs=34095.0Ω | sound=8 | sound_event=0 | light=14 | light_state=dark
